GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalen.v20120901,BestandOphalenType,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalen.v20120901,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.bestand.v20130701,Bestand,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.bestand.v20130701,Attachment,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.bestand.v20130701,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstopvragen.v20170401,BestandenlijstOpvragenRequest,3,7,0,0,1,3,1,2,1,2
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstopvragen.v20170401,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstopvragen.v20170401,BestandenlijstOpvragenResponse,4,6,0,0,2,2,1,2,1,2
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.afgifte.v20130701,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.afgifte.v20130701,AfgifteBestandType,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.afgifte.v20130701,AfgifteType,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.generiek_extern.procesresultaat.v20110922,ObjectFactory,68,0,0,0,12,0,8,0,8,0
Kadaster-GDS2,nl.kadaster.schemas.generiek_extern.procesresultaat.v20110922,Melding,24,0,0,0,10,0,7,0,7,0
Kadaster-GDS2,nl.kadaster.schemas.generiek_extern.procesresultaat.v20110922,ProcesVerwerking,25,3,2,0,9,1,6,1,5,1
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandophalenresultaat.v20130701,BestandOphalenResultaatType,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20120901,AfgifteType,38,0,0,0,16,0,11,0,11,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20120901,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.b3p.soap.logging,LogMessageHandler,6,65,1,5,3,19,2,7,1,5
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.kenmerken.v20170401,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.kenmerken.v20170401,BestandKenmerkenType,21,3,0,0,9,1,6,1,6,1
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte.v20130701,Gds2AfgifteServiceV20130701Service,82,0,4,0,24,0,12,0,10,0
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,DataReference.Lifetime,14,3,0,0,6,1,4,1,4,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,ChecksumType,7,3,0,0,3,1,2,1,2,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,AnyString,7,3,0,0,3,1,2,1,2,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,DataReference.Transport.Location,14,3,0,0,6,1,4,1,4,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,DataReference.Transport,7,3,0,0,3,1,2,1,2,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,Md5String,0,3,0,0,0,1,0,1,0,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,ObjectFactory,62,0,0,0,15,0,14,0,14,0
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,GbProfile,31,23,4,0,5,5,4,2,2,2
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,DataReference,28,3,0,0,12,1,8,1,8,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,UrlType,12,3,2,0,5,1,3,1,2,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,DataReference.Content,28,3,0,0,12,1,8,1,8,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,ExternalDataReference,18,3,2,0,6,1,4,1,3,1
Kadaster-GDS2,nl.logius.digikoppeling.gb._2010._10,DatetimeType,19,3,2,0,8,1,5,1,4,1
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.kenmerken.v20120901,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.kenmerken.v20120901,BestandKenmerkenType,24,0,0,0,10,0,7,0,7,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.imgds.afgifte_id.v20120901,Afgifte,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.imgds.afgifte_id.v20120901,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte.v20170401,Gds2AfgifteServiceV20170401Service,46,36,2,2,13,11,8,4,6,4
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20130701,AfgifteType,38,0,0,0,16,0,11,0,11,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.bestand.v20170401,Bestand,14,3,0,0,6,1,4,1,4,1
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.bestand.v20170401,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbopvragen.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbopvragen.v20130701,BestandenlijstGbOpvragenType,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbresultaat.afgifte.v20130701,BestandenLijstGBType,14,0,2,0,4,0,3,0,2,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbresultaat.afgifte.v20130701,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbresultaat.afgifte.v20130701,AfgifteGBType,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstselectie.v20170401,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstselectie.v20170401,AfgifteSelectieCriteriaType,20,25,0,0,8,11,6,7,6,7
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstselectie.v20170401,BestandKenmerkenType,6,11,0,0,2,5,2,3,2,3
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstgbopvragen.v20130701,BestandenlijstGBOpvragenRequest,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstgbopvragen.v20130701,BestandenlijstGBOpvragenResponse,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstgbopvragen.v20130701,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.bestand.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.bestand.v20130701,Bestand,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20170401,AfgifteType,53,6,0,0,23,2,15,2,15,2
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20170401,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.afgifte.v20170401,BestandenLijstType,5,9,1,1,1,3,1,2,0,2
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstselectie.v20130701,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstselectie.v20130701,BestandKenmerkenType,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstselectie.v20130701,AfgifteSelectieCriteriaType,31,0,0,0,13,0,9,0,9,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.v20170401,BestandenlijstOpvragenResultaatType,27,18,0,0,13,6,7,6,7,6
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.v20170401,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstopvragen.v20130701,BestandenlijstOpvragenResponse,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstopvragen.v20130701,BestandenlijstOpvragenRequest,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandenlijstopvragen.v20130701,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandophalen.v20130701,BestandOphalenResponse,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandophalen.v20130701,BestandOphalenRequest,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.service.afgifte_bestandophalen.v20130701,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20130701,FilterDatumTijdType,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20130701,SorteringType,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20130701,ObjectFactory,82,0,0,0,14,0,9,0,9,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.imgds.baseurl.v20170401,BaseURLType,8,9,0,0,4,3,2,3,2,3
Kadaster-GDS2,nl.kadaster.schemas.gds2.imgds.baseurl.v20170401,BaseURLSetType,5,9,1,1,1,3,1,2,0,2
Kadaster-GDS2,nl.kadaster.schemas.gds2.imgds.baseurl.v20170401,ObjectFactory,26,0,0,0,6,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.afgifte.v20130701,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.afgifte.v20130701,AfgifteBestandType,3,0,0,0,1,0,1,0,1,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.afgifte.v20130701,BestandenLijstType,14,0,2,0,4,0,3,0,2,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.v20130701,BestandenlijstOpvragenResultaatType,24,0,0,0,10,0,7,0,7,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragenresultaat.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragen.v20170401,BestandenlijstOpvragenType,3,7,0,0,1,3,1,2,1,2
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragen.v20170401,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbopvragenresultaat.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbopvragenresultaat.v20130701,BestandenlijstGbOpvragenResultaatType,24,0,0,0,10,0,7,0,7,0
Kadaster-GDS2,nl.b3p.gds2,Main,762,0,63,0,189,0,37,0,4,0
Kadaster-GDS2,nl.b3p.gds2,GDS2Util,158,118,14,10,42,28,11,14,3,10
Kadaster-GDS2,nl.b3p.gds2,Main2,799,0,65,0,195,0,38,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbresultaat.afgifte.v20120901,ObjectFactory,40,0,0,0,8,0,6,0,6,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbresultaat.afgifte.v20120901,BestandenLijstGBType,14,0,2,0,4,0,3,0,2,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstgbresultaat.afgifte.v20120901,AfgifteGBType,10,0,0,0,4,0,3,0,3,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.bestand.v20120901,Bestand,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstresultaat.bestand.v20120901,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20170401,KlantAfgiftenummerReeksType,6,11,0,0,2,5,2,3,2,3
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20170401,ObjectFactory,114,0,0,0,19,0,12,0,12,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20170401,FilterDatumTijdType,6,11,0,0,2,5,2,3,2,3
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_proces.v20170401,SorteringType,17,0,0,0,7,0,5,0,5,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragen.v20130701,ObjectFactory,22,0,0,0,5,0,4,0,4,0
Kadaster-GDS2,nl.kadaster.schemas.gds2.afgifte_bestandenlijstopvragen.v20130701,BestandenlijstOpvragenType,10,0,0,0,4,0,3,0,3,0
